data,valor,serie,descricao
2015-01-01,3442,20614,Comprometimento de renda PF
2015-02-01,3126,20614,Comprometimento de renda PF
2015-03-01,3046,20614,Comprometimento de renda PF
2015-04-01,2996,20614,Comprometimento de renda PF
2015-05-01,2939,20614,Comprometimento de renda PF
2015-06-01,2906,20614,Comprometimento de renda PF
2015-07-01,2861,20614,Comprometimento de renda PF
2015-08-01,2849,20614,Comprometimento de renda PF
2015-09-01,2807,20614,Comprometimento de renda PF
2015-10-01,2776,20614,Comprometimento de renda PF
2015-11-01,2743,20614,Comprometimento de renda PF
2015-12-01,2707,20614,Comprometimento de renda PF
2016-01-01,2658,20614,Comprometimento de renda PF
2016-02-01,2602,20614,Comprometimento de renda PF
2016-03-01,2552,20614,Comprometimento de renda PF
2016-04-01,2534,20614,Comprometimento de renda PF
2016-05-01,2562,20614,Comprometimento de renda PF
2016-06-01,2308,20614,Comprometimento de renda PF
2016-07-01,1807,20614,Comprometimento de renda PF
2016-08-01,1797,20614,Comprometimento de renda PF
2016-09-01,1753,20614,Comprometimento de renda PF
2016-10-01,1692,20614,Comprometimento de renda PF
2016-11-01,1655,20614,Comprometimento de renda PF
2016-12-01,1613,20614,Comprometimento de renda PF
2017-01-01,1566,20614,Comprometimento de renda PF
2017-02-01,1511,20614,Comprometimento de renda PF
2017-03-01,1485,20614,Comprometimento de renda PF
2017-04-01,1449,20614,Comprometimento de renda PF
2017-05-01,1461,20614,Comprometimento de renda PF
2017-06-01,1435,20614,Comprometimento de renda PF
2017-07-01,1447,20614,Comprometimento de renda PF
2017-08-01,1425,20614,Comprometimento de renda PF
2017-09-01,2120,20614,Comprometimento de renda PF
2017-10-01,2108,20614,Comprometimento de renda PF
2017-11-01,2089,20614,Comprometimento de renda PF
2017-12-01,2074,20614,Comprometimento de renda PF
2018-01-01,2053,20614,Comprometimento de renda PF
2018-02-01,2048,20614,Comprometimento de renda PF
2018-03-01,2016,20614,Comprometimento de renda PF
2018-04-01,1973,20614,Comprometimento de renda PF
2018-05-01,1929,20614,Comprometimento de renda PF
2018-06-01,1901,20614,Comprometimento de renda PF
2018-07-01,1873,20614,Comprometimento de renda PF
2018-08-01,1879,20614,Comprometimento de renda PF
2018-09-01,1874,20614,Comprometimento de renda PF
2018-10-01,1865,20614,Comprometimento de renda PF
2018-11-01,1842,20614,Comprometimento de renda PF
2018-12-01,1833,20614,Comprometimento de renda PF
2019-01-01,1807,20614,Comprometimento de renda PF
2019-02-01,1782,20614,Comprometimento de renda PF
2019-03-01,1771,20614,Comprometimento de renda PF
2019-04-01,1764,20614,Comprometimento de renda PF
2019-05-01,1759,20614,Comprometimento de renda PF
2019-06-01,1728,20614,Comprometimento de renda PF
2019-07-01,1681,20614,Comprometimento de renda PF
2019-08-01,1666,20614,Comprometimento de renda PF
2019-09-01,1639,20614,Comprometimento de renda PF
2019-10-01,1631,20614,Comprometimento de renda PF
2019-11-01,1602,20614,Comprometimento de renda PF
2019-12-01,1536,20614,Comprometimento de renda PF
2020-01-01,1514,20614,Comprometimento de renda PF
2020-02-01,1500,20614,Comprometimento de renda PF
2020-03-01,1496,20614,Comprometimento de renda PF
2020-04-01,1475,20614,Comprometimento de renda PF
2020-05-01,1464,20614,Comprometimento de renda PF
2020-06-01,1446,20614,Comprometimento de renda PF
2020-07-01,1416,20614,Comprometimento de renda PF
2020-08-01,1418,20614,Comprometimento de renda PF
2020-09-01,1399,20614,Comprometimento de renda PF
2020-10-01,1382,20614,Comprometimento de renda PF
2020-11-01,1410,20614,Comprometimento de renda PF
2020-12-01,1440,20614,Comprometimento de renda PF
2021-01-01,1461,20614,Comprometimento de renda PF
2021-02-01,1485,20614,Comprometimento de renda PF
2021-03-01,1508,20614,Comprometimento de renda PF
2021-04-01,1534,20614,Comprometimento de renda PF
2021-05-01,1570,20614,Comprometimento de renda PF
2021-06-01,1590,20614,Comprometimento de renda PF
2021-07-01,1585,20614,Comprometimento de renda PF
2021-08-01,1602,20614,Comprometimento de renda PF
2021-09-01,1609,20614,Comprometimento de renda PF
2021-10-01,1620,20614,Comprometimento de renda PF
2021-11-01,1758,20614,Comprometimento de renda PF
2021-12-01,1650,20614,Comprometimento de renda PF
2022-01-01,1675,20614,Comprometimento de renda PF
2022-02-01,1703,20614,Comprometimento de renda PF
2022-03-01,1739,20614,Comprometimento de renda PF
2022-04-01,1745,20614,Comprometimento de renda PF
2022-05-01,1751,20614,Comprometimento de renda PF
2022-06-01,1719,20614,Comprometimento de renda PF
2022-07-01,1665,20614,Comprometimento de renda PF
2022-08-01,1663,20614,Comprometimento de renda PF
2022-09-01,1647,20614,Comprometimento de renda PF
2022-10-01,1656,20614,Comprometimento de renda PF
2022-11-01,1710,20614,Comprometimento de renda PF
2022-12-01,1721,20614,Comprometimento de renda PF
2023-01-01,1751,20614,Comprometimento de renda PF
2023-02-01,1768,20614,Comprometimento de renda PF
2023-03-01,1789,20614,Comprometimento de renda PF
2023-04-01,1799,20614,Comprometimento de renda PF
2023-05-01,1826,20614,Comprometimento de renda PF
2023-06-01,1838,20614,Comprometimento de renda PF
2023-07-01,1864,20614,Comprometimento de renda PF
2023-08-01,1925,20614,Comprometimento de renda PF
2023-09-01,1948,20614,Comprometimento de renda PF
2023-10-01,2004,20614,Comprometimento de renda PF
2023-11-01,2252,20614,Comprometimento de renda PF
2023-12-01,2278,20614,Comprometimento de renda PF
2024-01-01,2274,20614,Comprometimento de renda PF
2024-02-01,2234,20614,Comprometimento de renda PF
2024-03-01,2256,20614,Comprometimento de renda PF
2024-04-01,2243,20614,Comprometimento de renda PF
2024-05-01,2262,20614,Comprometimento de renda PF
2024-06-01,2347,20614,Comprometimento de renda PF
2024-07-01,2432,20614,Comprometimento de renda PF
2024-08-01,2541,20614,Comprometimento de renda PF
2024-09-01,2665,20614,Comprometimento de renda PF
2024-10-01,3050,20614,Comprometimento de renda PF
2024-11-01,2942,20614,Comprometimento de renda PF
2024-12-01,3855,20614,Comprometimento de renda PF
