data,valor,fonte,indicador
2020-01-01,0.21,IBGE,IPCA variacao mensal
2020-02-01,0.25,IBGE,IPCA variacao mensal
2020-03-01,0.07,IBGE,IPCA variacao mensal
2020-04-01,-0.31,IBGE,IPCA variacao mensal
2020-05-01,-0.38,IBGE,IPCA variacao mensal
2020-06-01,0.26,IBGE,IPCA variacao mensal
2020-07-01,0.36,IBGE,IPCA variacao mensal
2020-08-01,0.24,IBGE,IPCA variacao mensal
2020-09-01,0.64,IBGE,IPCA variacao mensal
2020-10-01,0.86,IBGE,IPCA variacao mensal
2020-11-01,0.89,IBGE,IPCA variacao mensal
2020-12-01,1.35,IBGE,IPCA variacao mensal
2021-01-01,0.25,IBGE,IPCA variacao mensal
2021-02-01,0.86,IBGE,IPCA variacao mensal
2021-03-01,0.93,IBGE,IPCA variacao mensal
2021-04-01,0.31,IBGE,IPCA variacao mensal
2021-05-01,0.83,IBGE,IPCA variacao mensal
2021-06-01,0.53,IBGE,IPCA variacao mensal
2021-07-01,0.96,IBGE,IPCA variacao mensal
2021-08-01,0.87,IBGE,IPCA variacao mensal
2021-09-01,1.16,IBGE,IPCA variacao mensal
2021-10-01,1.25,IBGE,IPCA variacao mensal
2021-11-01,0.95,IBGE,IPCA variacao mensal
2021-12-01,0.73,IBGE,IPCA variacao mensal
2022-01-01,0.54,IBGE,IPCA variacao mensal
2022-02-01,1.01,IBGE,IPCA variacao mensal
2022-03-01,1.62,IBGE,IPCA variacao mensal
2022-04-01,1.06,IBGE,IPCA variacao mensal
2022-05-01,0.47,IBGE,IPCA variacao mensal
2022-06-01,0.67,IBGE,IPCA variacao mensal
2022-07-01,-0.68,IBGE,IPCA variacao mensal
2022-08-01,-0.36,IBGE,IPCA variacao mensal
2022-09-01,-0.29,IBGE,IPCA variacao mensal
2022-10-01,0.59,IBGE,IPCA variacao mensal
2022-11-01,0.41,IBGE,IPCA variacao mensal
2022-12-01,0.62,IBGE,IPCA variacao mensal
2023-01-01,0.53,IBGE,IPCA variacao mensal
2023-02-01,0.84,IBGE,IPCA variacao mensal
2023-03-01,0.71,IBGE,IPCA variacao mensal
2023-04-01,0.61,IBGE,IPCA variacao mensal
2023-05-01,0.23,IBGE,IPCA variacao mensal
2023-06-01,-0.08,IBGE,IPCA variacao mensal
2023-07-01,0.12,IBGE,IPCA variacao mensal
2023-08-01,0.23,IBGE,IPCA variacao mensal
2023-09-01,0.26,IBGE,IPCA variacao mensal
2023-10-01,0.24,IBGE,IPCA variacao mensal
2023-11-01,0.28,IBGE,IPCA variacao mensal
2023-12-01,0.56,IBGE,IPCA variacao mensal
2024-01-01,0.42,IBGE,IPCA variacao mensal
2024-02-01,0.83,IBGE,IPCA variacao mensal
2024-03-01,0.16,IBGE,IPCA variacao mensal
2024-04-01,0.38,IBGE,IPCA variacao mensal
2024-05-01,0.46,IBGE,IPCA variacao mensal
2024-06-01,0.21,IBGE,IPCA variacao mensal
2024-07-01,0.38,IBGE,IPCA variacao mensal
2024-08-01,-0.02,IBGE,IPCA variacao mensal
2024-09-01,0.44,IBGE,IPCA variacao mensal
2024-10-01,0.56,IBGE,IPCA variacao mensal
2024-11-01,0.39,IBGE,IPCA variacao mensal
2024-12-01,0.52,IBGE,IPCA variacao mensal
