data,valor,fonte,indicador
2016-08-01,11.9,IBGE,Taxa de desocupacao
2016-09-01,11.9,IBGE,Taxa de desocupacao
2016-10-01,11.9,IBGE,Taxa de desocupacao
2016-11-01,12.0,IBGE,Taxa de desocupacao
2016-12-01,12.1,IBGE,Taxa de desocupacao
2017-01-01,12.7,IBGE,Taxa de desocupacao
2017-02-01,13.3,IBGE,Taxa de desocupacao
2017-03-01,13.9,IBGE,Taxa de desocupacao
2017-04-01,13.7,IBGE,Taxa de desocupacao
2017-05-01,13.4,IBGE,Taxa de desocupacao
2017-06-01,13.1,IBGE,Taxa de desocupacao
2017-07-01,12.9,IBGE,Taxa de desocupacao
2017-08-01,12.7,IBGE,Taxa de desocupacao
2017-09-01,12.5,IBGE,Taxa de desocupacao
2017-10-01,12.3,IBGE,Taxa de desocupacao
2017-11-01,12.1,IBGE,Taxa de desocupacao
2017-12-01,11.9,IBGE,Taxa de desocupacao
2018-01-01,12.3,IBGE,Taxa de desocupacao
2018-02-01,12.7,IBGE,Taxa de desocupacao
2018-03-01,13.2,IBGE,Taxa de desocupacao
2018-04-01,13.0,IBGE,Taxa de desocupacao
2018-05-01,12.8,IBGE,Taxa de desocupacao
2018-06-01,12.6,IBGE,Taxa de desocupacao
2018-07-01,12.4,IBGE,Taxa de desocupacao
2018-08-01,12.2,IBGE,Taxa de desocupacao
2018-09-01,12.0,IBGE,Taxa de desocupacao
2018-10-01,11.8,IBGE,Taxa de desocupacao
2018-11-01,11.7,IBGE,Taxa de desocupacao
2018-12-01,11.7,IBGE,Taxa de desocupacao
2019-01-01,12.2,IBGE,Taxa de desocupacao
2019-02-01,12.5,IBGE,Taxa de desocupacao
2019-03-01,12.8,IBGE,Taxa de desocupacao
2019-04-01,12.6,IBGE,Taxa de desocupacao
2019-05-01,12.4,IBGE,Taxa de desocupacao
2019-06-01,12.1,IBGE,Taxa de desocupacao
2019-07-01,11.9,IBGE,Taxa de desocupacao
2019-08-01,11.9,IBGE,Taxa de desocupacao
2019-09-01,11.9,IBGE,Taxa de desocupacao
2019-10-01,11.7,IBGE,Taxa de desocupacao
2019-11-01,11.3,IBGE,Taxa de desocupacao
2019-12-01,11.1,IBGE,Taxa de desocupacao
2020-01-01,11.3,IBGE,Taxa de desocupacao
2020-02-01,11.7,IBGE,Taxa de desocupacao
2020-03-01,12.4,IBGE,Taxa de desocupacao
2020-04-01,12.7,IBGE,Taxa de desocupacao
2020-05-01,13.1,IBGE,Taxa de desocupacao
2020-06-01,13.6,IBGE,Taxa de desocupacao
2020-07-01,14.1,IBGE,Taxa de desocupacao
2020-08-01,14.8,IBGE,Taxa de desocupacao
2020-09-01,14.9,IBGE,Taxa de desocupacao
2020-10-01,14.6,IBGE,Taxa de desocupacao
2020-11-01,14.3,IBGE,Taxa de desocupacao
2020-12-01,14.2,IBGE,Taxa de desocupacao
2021-01-01,14.4,IBGE,Taxa de desocupacao
2021-02-01,14.6,IBGE,Taxa de desocupacao
2021-03-01,14.9,IBGE,Taxa de desocupacao
2021-04-01,14.8,IBGE,Taxa de desocupacao
2021-05-01,14.7,IBGE,Taxa de desocupacao
2021-06-01,14.2,IBGE,Taxa de desocupacao
2021-07-01,13.7,IBGE,Taxa de desocupacao
2021-08-01,13.2,IBGE,Taxa de desocupacao
2021-09-01,12.7,IBGE,Taxa de desocupacao
2021-10-01,12.1,IBGE,Taxa de desocupacao
2021-11-01,11.6,IBGE,Taxa de desocupacao
2021-12-01,11.1,IBGE,Taxa de desocupacao
2022-01-01,11.2,IBGE,Taxa de desocupacao
2022-02-01,11.2,IBGE,Taxa de desocupacao
2022-03-01,11.1,IBGE,Taxa de desocupacao
2022-04-01,10.5,IBGE,Taxa de desocupacao
2022-05-01,9.8,IBGE,Taxa de desocupacao
2022-06-01,9.3,IBGE,Taxa de desocupacao
2022-07-01,9.1,IBGE,Taxa de desocupacao
2022-08-01,8.9,IBGE,Taxa de desocupacao
2022-09-01,8.7,IBGE,Taxa de desocupacao
2022-10-01,8.3,IBGE,Taxa de desocupacao
2022-11-01,8.1,IBGE,Taxa de desocupacao
2022-12-01,7.9,IBGE,Taxa de desocupacao
2023-01-01,8.4,IBGE,Taxa de desocupacao
2023-02-01,8.6,IBGE,Taxa de desocupacao
2023-03-01,8.8,IBGE,Taxa de desocupacao
2023-04-01,8.5,IBGE,Taxa de desocupacao
2023-05-01,8.3,IBGE,Taxa de desocupacao
2023-06-01,8.0,IBGE,Taxa de desocupacao
2023-07-01,7.9,IBGE,Taxa de desocupacao
2023-08-01,7.8,IBGE,Taxa de desocupacao
2023-09-01,7.7,IBGE,Taxa de desocupacao
2023-10-01,7.6,IBGE,Taxa de desocupacao
2023-11-01,7.5,IBGE,Taxa de desocupacao
2023-12-01,7.4,IBGE,Taxa de desocupacao
2024-01-01,7.6,IBGE,Taxa de desocupacao
2024-02-01,7.8,IBGE,Taxa de desocupacao
2024-03-01,7.9,IBGE,Taxa de desocupacao
2024-04-01,7.5,IBGE,Taxa de desocupacao
2024-05-01,7.1,IBGE,Taxa de desocupacao
2024-06-01,6.9,IBGE,Taxa de desocupacao
2024-07-01,6.8,IBGE,Taxa de desocupacao
2024-08-01,6.6,IBGE,Taxa de desocupacao
2024-09-01,6.4,IBGE,Taxa de desocupacao
2024-10-01,6.2,IBGE,Taxa de desocupacao
2024-11-01,6.1,IBGE,Taxa de desocupacao
2024-12-01,6.2,IBGE,Taxa de desocupacao
