data,valor,fonte,indicador
2015-01-01 02:00:00,472913.9,IPEAdata,PIB mensal
2015-02-01 02:00:00,460156.7,IPEAdata,PIB mensal
2015-03-01 03:00:00,501752.2,IPEAdata,PIB mensal
2015-04-01 03:00:00,486614.6,IPEAdata,PIB mensal
2015-05-01 03:00:00,483239.7,IPEAdata,PIB mensal
2015-06-01 03:00:00,486647.5,IPEAdata,PIB mensal
2015-07-01 03:00:00,502275.2,IPEAdata,PIB mensal
2015-08-01 03:00:00,492505.7,IPEAdata,PIB mensal
2015-09-01 03:00:00,496004.7,IPEAdata,PIB mensal
2015-10-01 03:00:00,518828.9,IPEAdata,PIB mensal
2015-11-01 02:00:00,513819.8,IPEAdata,PIB mensal
2015-12-01 02:00:00,521918.7,IPEAdata,PIB mensal
2016-01-01 02:00:00,490284.0,IPEAdata,PIB mensal
2016-02-01 02:00:00,491011.7,IPEAdata,PIB mensal
2016-03-01 03:00:00,516985.9,IPEAdata,PIB mensal
2016-04-01 03:00:00,508058.7,IPEAdata,PIB mensal
2016-05-01 03:00:00,513267.5,IPEAdata,PIB mensal
2016-06-01 03:00:00,536459.3,IPEAdata,PIB mensal
2016-07-01 03:00:00,532947.8,IPEAdata,PIB mensal
2016-08-01 03:00:00,534761.8,IPEAdata,PIB mensal
2016-09-01 03:00:00,509975.0,IPEAdata,PIB mensal
2016-10-01 03:00:00,525162.7,IPEAdata,PIB mensal
2016-11-01 02:00:00,541530.7,IPEAdata,PIB mensal
2016-12-01 02:00:00,565780.5,IPEAdata,PIB mensal
2017-01-01 02:00:00,513964.1,IPEAdata,PIB mensal
2017-02-01 02:00:00,511058.3,IPEAdata,PIB mensal
2017-03-01 03:00:00,560651.0,IPEAdata,PIB mensal
2017-04-01 03:00:00,537774.6,IPEAdata,PIB mensal
2017-05-01 03:00:00,549610.6,IPEAdata,PIB mensal
2017-06-01 03:00:00,543344.4,IPEAdata,PIB mensal
2017-07-01 03:00:00,548424.2,IPEAdata,PIB mensal
2017-08-01 03:00:00,555832.1,IPEAdata,PIB mensal
2017-09-01 03:00:00,544378.9,IPEAdata,PIB mensal
2017-10-01 03:00:00,567963.4,IPEAdata,PIB mensal
2017-11-01 02:00:00,574078.2,IPEAdata,PIB mensal
2017-12-01 02:00:00,578399.2,IPEAdata,PIB mensal
2018-01-01 02:00:00,552500.9,IPEAdata,PIB mensal
2018-02-01 02:00:00,540659.0,IPEAdata,PIB mensal
2018-03-01 03:00:00,588923.2,IPEAdata,PIB mensal
2018-04-01 03:00:00,587241.8,IPEAdata,PIB mensal
2018-05-01 03:00:00,561801.0,IPEAdata,PIB mensal
2018-06-01 03:00:00,585056.2,IPEAdata,PIB mensal
2018-07-01 03:00:00,592387.8,IPEAdata,PIB mensal
2018-08-01 03:00:00,598809.3,IPEAdata,PIB mensal
2018-09-01 03:00:00,576658.6,IPEAdata,PIB mensal
2018-10-01 03:00:00,611643.2,IPEAdata,PIB mensal
2018-11-01 03:00:00,607498.0,IPEAdata,PIB mensal
2018-12-01 02:00:00,600962.1,IPEAdata,PIB mensal
2019-01-01 02:00:00,577597.5,IPEAdata,PIB mensal
2019-02-01 02:00:00,577917.6,IPEAdata,PIB mensal
2019-03-01 03:00:00,602038.4,IPEAdata,PIB mensal
2019-04-01 03:00:00,612833.0,IPEAdata,PIB mensal
2019-05-01 03:00:00,615942.1,IPEAdata,PIB mensal
2019-06-01 03:00:00,597986.1,IPEAdata,PIB mensal
2019-07-01 03:00:00,632392.9,IPEAdata,PIB mensal
2019-08-01 03:00:00,630400.4,IPEAdata,PIB mensal
2019-09-01 03:00:00,617816.9,IPEAdata,PIB mensal
2019-10-01 03:00:00,648289.4,IPEAdata,PIB mensal
2019-11-01 03:00:00,637823.8,IPEAdata,PIB mensal
2019-12-01 03:00:00,638092.9,IPEAdata,PIB mensal
