data,valor,fonte,indicador
2015-01-01 02:00:00,3354.0,IPEAdata,Rendimento medio real habitual
2015-02-01 02:00:00,3348.0,IPEAdata,Rendimento medio real habitual
2015-03-01 03:00:00,3349.0,IPEAdata,Rendimento medio real habitual
2015-04-01 03:00:00,3341.0,IPEAdata,Rendimento medio real habitual
2015-05-01 03:00:00,3326.0,IPEAdata,Rendimento medio real habitual
2015-06-01 03:00:00,3335.0,IPEAdata,Rendimento medio real habitual
2015-07-01 03:00:00,3312.0,IPEAdata,Rendimento medio real habitual
2015-08-01 03:00:00,3296.0,IPEAdata,Rendimento medio real habitual
2015-09-01 03:00:00,3295.0,IPEAdata,Rendimento medio real habitual
2015-10-01 03:00:00,3282.0,IPEAdata,Rendimento medio real habitual
2015-11-01 02:00:00,3257.0,IPEAdata,Rendimento medio real habitual
2015-12-01 02:00:00,3240.0,IPEAdata,Rendimento medio real habitual
2016-01-01 02:00:00,3251.0,IPEAdata,Rendimento medio real habitual
2016-02-01 02:00:00,3231.0,IPEAdata,Rendimento medio real habitual
2016-03-01 03:00:00,3246.0,IPEAdata,Rendimento medio real habitual
2016-04-01 03:00:00,3230.0,IPEAdata,Rendimento medio real habitual
2016-05-01 03:00:00,3241.0,IPEAdata,Rendimento medio real habitual
2016-06-01 03:00:00,3207.0,IPEAdata,Rendimento medio real habitual
2016-07-01 03:00:00,3208.0,IPEAdata,Rendimento medio real habitual
2016-08-01 03:00:00,3236.0,IPEAdata,Rendimento medio real habitual
2016-09-01 03:00:00,3233.0,IPEAdata,Rendimento medio real habitual
2016-10-01 03:00:00,3238.0,IPEAdata,Rendimento medio real habitual
2016-11-01 02:00:00,3244.0,IPEAdata,Rendimento medio real habitual
2016-12-01 02:00:00,3261.0,IPEAdata,Rendimento medio real habitual
2017-01-01 02:00:00,3273.0,IPEAdata,Rendimento medio real habitual
2017-02-01 02:00:00,3283.0,IPEAdata,Rendimento medio real habitual
2017-03-01 03:00:00,3301.0,IPEAdata,Rendimento medio real habitual
2017-04-01 03:00:00,3286.0,IPEAdata,Rendimento medio real habitual
2017-05-01 03:00:00,3281.0,IPEAdata,Rendimento medio real habitual
2017-06-01 03:00:00,3268.0,IPEAdata,Rendimento medio real habitual
2017-07-01 03:00:00,3270.0,IPEAdata,Rendimento medio real habitual
2017-08-01 03:00:00,3265.0,IPEAdata,Rendimento medio real habitual
2017-09-01 03:00:00,3281.0,IPEAdata,Rendimento medio real habitual
2017-10-01 03:00:00,3292.0,IPEAdata,Rendimento medio real habitual
2017-11-01 02:00:00,3306.0,IPEAdata,Rendimento medio real habitual
2017-12-01 02:00:00,3307.0,IPEAdata,Rendimento medio real habitual
2018-01-01 02:00:00,3319.0,IPEAdata,Rendimento medio real habitual
2018-02-01 02:00:00,3332.0,IPEAdata,Rendimento medio real habitual
2018-03-01 03:00:00,3331.0,IPEAdata,Rendimento medio real habitual
2018-04-01 03:00:00,3342.0,IPEAdata,Rendimento medio real habitual
2018-05-01 03:00:00,3343.0,IPEAdata,Rendimento medio real habitual
2018-06-01 03:00:00,3338.0,IPEAdata,Rendimento medio real habitual
2018-07-01 03:00:00,3327.0,IPEAdata,Rendimento medio real habitual
2018-08-01 03:00:00,3341.0,IPEAdata,Rendimento medio real habitual
2018-09-01 03:00:00,3327.0,IPEAdata,Rendimento medio real habitual
2018-10-01 03:00:00,3330.0,IPEAdata,Rendimento medio real habitual
2018-11-01 03:00:00,3333.0,IPEAdata,Rendimento medio real habitual
2018-12-01 02:00:00,3352.0,IPEAdata,Rendimento medio real habitual
2019-01-01 02:00:00,3372.0,IPEAdata,Rendimento medio real habitual
2019-02-01 02:00:00,3384.0,IPEAdata,Rendimento medio real habitual
2019-03-01 03:00:00,3370.0,IPEAdata,Rendimento medio real habitual
2019-04-01 03:00:00,3353.0,IPEAdata,Rendimento medio real habitual
2019-05-01 03:00:00,3329.0,IPEAdata,Rendimento medio real habitual
2019-06-01 03:00:00,3329.0,IPEAdata,Rendimento medio real habitual
2019-07-01 03:00:00,3321.0,IPEAdata,Rendimento medio real habitual
2019-08-01 03:00:00,3334.0,IPEAdata,Rendimento medio real habitual
2019-09-01 03:00:00,3334.0,IPEAdata,Rendimento medio real habitual
2019-10-01 03:00:00,3358.0,IPEAdata,Rendimento medio real habitual
2019-11-01 03:00:00,3373.0,IPEAdata,Rendimento medio real habitual
2019-12-01 03:00:00,3362.0,IPEAdata,Rendimento medio real habitual
2020-01-01 03:00:00,3370.0,IPEAdata,Rendimento medio real habitual
2020-02-01 03:00:00,3373.0,IPEAdata,Rendimento medio real habitual
2020-03-01 03:00:00,3401.0,IPEAdata,Rendimento medio real habitual
2020-04-01 03:00:00,3437.0,IPEAdata,Rendimento medio real habitual
2020-05-01 03:00:00,3494.0,IPEAdata,Rendimento medio real habitual
2020-06-01 03:00:00,3548.0,IPEAdata,Rendimento medio real habitual
2020-07-01 03:00:00,3589.0,IPEAdata,Rendimento medio real habitual
2020-08-01 03:00:00,3584.0,IPEAdata,Rendimento medio real habitual
2020-09-01 03:00:00,3587.0,IPEAdata,Rendimento medio real habitual
2020-10-01 03:00:00,3534.0,IPEAdata,Rendimento medio real habitual
2020-11-01 03:00:00,3496.0,IPEAdata,Rendimento medio real habitual
2020-12-01 03:00:00,3443.0,IPEAdata,Rendimento medio real habitual
2021-01-01 03:00:00,3435.0,IPEAdata,Rendimento medio real habitual
2021-02-01 03:00:00,3404.0,IPEAdata,Rendimento medio real habitual
2021-03-01 03:00:00,3413.0,IPEAdata,Rendimento medio real habitual
2021-04-01 03:00:00,3372.0,IPEAdata,Rendimento medio real habitual
2021-05-01 03:00:00,3369.0,IPEAdata,Rendimento medio real habitual
2021-06-01 03:00:00,3317.0,IPEAdata,Rendimento medio real habitual
2021-07-01 03:00:00,3286.0,IPEAdata,Rendimento medio real habitual
2021-08-01 03:00:00,3239.0,IPEAdata,Rendimento medio real habitual
2021-09-01 03:00:00,3182.0,IPEAdata,Rendimento medio real habitual
2021-10-01 03:00:00,3136.0,IPEAdata,Rendimento medio real habitual
2021-11-01 03:00:00,3094.0,IPEAdata,Rendimento medio real habitual
2021-12-01 03:00:00,3069.0,IPEAdata,Rendimento medio real habitual
2022-01-01 03:00:00,3098.0,IPEAdata,Rendimento medio real habitual
2022-02-01 03:00:00,3101.0,IPEAdata,Rendimento medio real habitual
2022-03-01 03:00:00,3114.0,IPEAdata,Rendimento medio real habitual
2022-04-01 03:00:00,3102.0,IPEAdata,Rendimento medio real habitual
2022-05-01 03:00:00,3122.0,IPEAdata,Rendimento medio real habitual
2022-06-01 03:00:00,3145.0,IPEAdata,Rendimento medio real habitual
2022-07-01 03:00:00,3189.0,IPEAdata,Rendimento medio real habitual
2022-08-01 03:00:00,3217.0,IPEAdata,Rendimento medio real habitual
2022-09-01 03:00:00,3260.0,IPEAdata,Rendimento medio real habitual
2022-10-01 03:00:00,3280.0,IPEAdata,Rendimento medio real habitual
2022-11-01 03:00:00,3311.0,IPEAdata,Rendimento medio real habitual
2022-12-01 03:00:00,3319.0,IPEAdata,Rendimento medio real habitual
2023-01-01 03:00:00,3333.0,IPEAdata,Rendimento medio real habitual
2023-02-01 03:00:00,3331.0,IPEAdata,Rendimento medio real habitual
2023-03-01 03:00:00,3339.0,IPEAdata,Rendimento medio real habitual
2023-04-01 03:00:00,3329.0,IPEAdata,Rendimento medio real habitual
2023-05-01 03:00:00,3323.0,IPEAdata,Rendimento medio real habitual
2023-06-01 03:00:00,3338.0,IPEAdata,Rendimento medio real habitual
2023-07-01 03:00:00,3350.0,IPEAdata,Rendimento medio real habitual
2023-08-01 03:00:00,3360.0,IPEAdata,Rendimento medio real habitual
2023-09-01 03:00:00,3393.0,IPEAdata,Rendimento medio real habitual
2023-10-01 03:00:00,3404.0,IPEAdata,Rendimento medio real habitual
2023-11-01 03:00:00,3433.0,IPEAdata,Rendimento medio real habitual
2023-12-01 03:00:00,3419.0,IPEAdata,Rendimento medio real habitual
2024-01-01 03:00:00,3457.0,IPEAdata,Rendimento medio real habitual
2024-02-01 03:00:00,3473.0,IPEAdata,Rendimento medio real habitual
2024-03-01 03:00:00,3470.0,IPEAdata,Rendimento medio real habitual
2024-04-01 03:00:00,3485.0,IPEAdata,Rendimento medio real habitual
2024-05-01 03:00:00,3506.0,IPEAdata,Rendimento medio real habitual
2024-06-01 03:00:00,3529.0,IPEAdata,Rendimento medio real habitual
2024-07-01 03:00:00,3509.0,IPEAdata,Rendimento medio real habitual
2024-08-01 03:00:00,3527.0,IPEAdata,Rendimento medio real habitual
